HHID,fetch_water_ga,Year,Dry_Ln_2012_2002_10,Demo_group_Detail,IHS_Distance_Water,Ln_2012_2002_Categ,fetch_water
1021002703,0,2009,1,5,0,1,10
1021002703,5,2009,1,2,0,1,10
1021002703,0,2009,1,6,0,1,10
1021002703,5,2009,1,3,0,1,10
1021002711,8,2009,1,4,0.0299955,1,14
1021002711,0,2009,1,5,0.0299955,1,14
1021002711,6,2009,1,4,0.0299955,1,14
1021002711,0,2009,1,3,0.0299955,1,14
1021002711,0,2009,1,6,0.0299955,1,14
1021002711,0,2009,1,6,0.0299955,1,14
1021003003,1,2009,0,6,0.09983408,2,1
1021003003,0,2009,0,5,0.09983408,2,1
1021003004,2,2009,0,5,0.29567307,2,2
1021003004,0,2011,0,5,0,4,0
1021003201,2,2009,1,3,0,1,10
1021003201,0,2009,1,5,0,1,10
1021003201,2,2009,1,2,0,1,10
1021003201,2,2009,1,3,0,1,10
1021003201,4,2009,1,6,0,1,10
1021003201,1,2011,0,6,0,4,1
1021003201,0,2011,0,4,0,4,1
1021003201,0,2011,0,3,0,4,1
1021003201,0,2011,0,5,0,4,1
1021003201,0,2011,0,2,0,4,1
1021003203,0,2009,1,5,0,1,2
1021003203,2,2009,1,6,0,1,2
1021003203,0,2011,0,5,0,4,3
1021003203,3,2011,0,6,0,4,3
1021003205,0,2009,1,6,0,1,0
1021003205,0,2009,1,5,0,1,0
1021003205,0,2009,1,1,0,1,0
1021003205,0,2009,1,5,0,1,0
1021003205,0,2009,1,3,0,1,0
1021003205,0,2009,1,6,0,1,0
1021003205,0,2011,0,6,,4,0
1021003205,0,2011,0,3,,4,0
1021003205,0,2011,0,1,,4,0
1021003205,0,2011,0,5,,4,0
1021003309,0,2009,1,5,0.19869012,1,34
1021003309,0,2009,1,5,0.19869012,1,34
1021003309,,2009,1,2,0.19869012,1,34
1021003309,0,2009,1,7,0.19869012,1,34
1021003309,4,2009,1,6,0.19869012,1,34
1021003309,2,2009,1,6,0.19869012,1,34
1021003309,0,2009,1,1,0.19869012,1,34
1021003309,7,2009,1,1,0.19869012,1,34
1021003309,0,2009,1,5,0.19869012,1,34
1021003309,7,2009,1,2,0.19869012,1,34
1021003309,0,2009,1,6,0.19869012,1,34
1021003309,0,2009,1,5,0.19869012,1,34
1021003309,0,2009,1,4,0.19869012,1,34
1021003309,7,2009,1,1,0.19869012,1,34
1021003309,7,2009,1,2,0.19869012,1,34
1021003309,0,2010,0,6,0,3,13
1021003309,0,2010,0,7,0,3,13
1021003309,0,2010,0,1,0,3,13
1021003309,3,2010,0,2,0,3,13
1021003309,0,2010,0,6,0,3,13
1021003309,1,2010,0,3,0,3,13
1021003309,0,2010,0,5,0,3,13
1021003309,0,2010,0,1,0,3,13
1021003309,0,2010,0,4,0,3,13
1021003309,2,2010,0,2,0,3,13
1021003309,0,2010,0,3,0,3,13
1021003309,0,2010,0,5,0,3,13
1021003309,2,2010,0,2,0,3,13
1021003309,0,2010,0,5,0,3,13
1021003309,1,2010,0,1,0,3,13
1021003309,2,2010,0,1,0,3,13
1021003309,2,2010,0,5,0,3,13
1021003309,0,2010,0,1,0,3,13
1021003309,0,2010,0,1,0,3,13
1021003403,2,2009,0,1,0.48121181,2,15
1021003403,0,2009,0,2,0.48121181,2,15
1021003403,0,2009,0,4,0.48121181,2,15
1021003403,3,2009,0,1,0.48121181,2,15
1021003403,4,2009,0,6,0.48121181,2,15
1021003403,3,2009,0,3,0.48121181,2,15
1021003403,3,2009,0,2,0.48121181,2,15
1021003403,0,2009,0,5,0.48121181,2,15
1021003403,0,2009,0,5,0.48121181,2,15
1021003403,0,2010,0,5,0,3,37
1021003403,7,2010,0,2,0,3,37
1021003403,14,2010,0,1,0,3,37
1021003403,7,2010,0,5,0,3,37
1021003403,2,2010,0,6,0,3,37
1021003403,7,2010,0,3,0,3,37
1021003403,0,2010,0,2,0,3,37
1021003407,5,2009,0,5,0.48121181,2,5
1021003407,1,2010,0,5,0,3,1
1021003411,0,2009,0,5,0.48121181,2,4
1021003411,4,2009,0,1,0.48121181,2,4
1021003411,0,2009,0,6,0.48121181,2,4
1021003411,4,2010,0,6,0,3,4
1021003411,0,2010,0,5,0,3,4
1021003412,4,2009,0,5,0.19869012,2,12
1021003412,8,2009,0,6,0.19869012,2,12
1021003412,0,2010,0,1,0,3,2
1021003412,0,2010,0,5,0,3,2
1021003412,0,2010,0,2,0,3,2
1021003412,2,2010,0,6,0,3,2
1021003415,8,2009,0,5,0.29567307,2,12
1021003415,4,2009,0,7,0.29567307,2,12
1033000301,2,2009,0,4,0.39003533,2,5
1033000301,3,2009,0,5,0.39003533,2,5
1033000301,0,2009,0,5,0.39003533,2,5
1033000301,10,2010,0,5,0.88137358,3,10
1033000301,0,2010,0,4,0.88137358,3,10
1033000301,3,2011,0,6,0.88137358,5,4
1033000301,0,2011,0,5,0.88137358,5,4
1033000301,1,2011,0,3,0.88137358,5,4
1033000302,4,2009,1,2,0.48121181,1,24
1033000302,4,2009,1,2,0.48121181,1,24
1033000302,4,2009,1,6,0.48121181,1,24
1033000302,4,2009,1,1,0.48121181,1,24
1033000302,0,2009,1,6,0.48121181,1,24
1033000302,4,2009,1,1,0.48121181,1,24
1033000302,4,2009,1,3,0.48121181,1,24
1033000302,0,2009,1,4,0.48121181,1,24
1033000302,2,2010,0,6,1.8184465,3,29
1033000302,4,2010,0,1,1.8184465,3,29
1033000302,4,2010,0,1,1.8184465,3,29
1033000302,4,2010,0,3,1.8184465,3,29
1033000302,4,2010,0,1,1.8184465,3,29
1033000302,5,2010,0,3,1.8184465,3,29
1033000302,2,2010,0,6,1.8184465,3,29
1033000302,0,2010,0,2,1.8184465,3,29
1033000302,4,2010,0,2,1.8184465,3,29
1033000302,0,2010,0,4,1.8184465,3,29
1033000302,10,2011,0,6,0,5,38
1033000302,7,2011,0,1,0,5,38
1033000302,5,2011,0,4,0,5,38
1033000302,0,2011,0,7,0,5,38
1033000302,3,2011,0,1,0,5,38
1033000302,3,2011,0,1,0,5,38
1033000302,5,2011,0,3,0,5,38
1033000302,0,2011,0,2,0,5,38
1033000302,5,2011,0,1,0,5,38
1033000303,4,2009,1,1,0.39003533,1,11
1033000303,2,2009,1,3,0.39003533,1,11
1033000303,5,2009,1,5,0.39003533,1,11
1033000303,0,2009,1,6,0.39003533,1,11
1033000303,0,2009,1,3,0.39003533,1,11
1033000303,0,2010,0,6,0,4,5
1033000303,0,2010,0,5,0,4,5
1033000303,2,2010,0,3,0,4,5
1033000303,1,2010,0,1,0,4,5
1033000303,2,2010,0,3,0,4,5
1033000303,0,2011,0,6,0,4,11
1033000303,5,2011,0,2,0,4,11
1033000303,6,2011,0,3,0,4,11
1033000304,1,2009,1,2,0.48121181,1,11
1033000304,1,2009,1,4,0.48121181,1,11
1033000304,1,2009,1,1,0.48121181,1,11
1033000304,1,2009,1,3,0.48121181,1,11
1033000304,1,2009,1,1,0.48121181,1,11
1033000304,0,2009,1,7,0.48121181,1,11
1033000304,3,2009,1,6,0.48121181,1,11
1033000304,1,2009,1,1,0.48121181,1,11
1033000304,2,2009,1,4,0.48121181,1,11
1033000304,0,2009,1,4,0.48121181,1,11
1033000304,5,2010,0,2,0,4,21
1033000304,0,2010,0,4,0,4,21
1033000304,0,2010,0,1,0,4,21
1033000304,6,2010,0,4,0,4,21
1033000304,6,2010,0,4,0,4,21
1033000304,4,2010,0,3,0,4,21
1033000304,0,2010,0,7,0,4,21
